item,itemLabel,position,positionLabel,start,psid
Q106622643,Wayne Panton,Q109772093,Minister for Sustainability and Climate Resiliency,2021-04-26,Q106622643-BF74ABD6-2440-4C47-9F9F-371039EA2915
Q106622643,Wayne Panton,Q3247884,Premier of the Cayman Islands,2021-04-21,Q106622643-D650D333-DC57-4E3B-8266-2C07F7C59665
Q109772063,Samuel Bulgin,Q107333351,Attorney General of the Cayman Islands,2003-07-01,Q109772063-3400B2BF-0B90-405F-9A99-EE630AFFB09B
Q109772066,Sabrina Turner,Q109772067,Minister for Health and Wellness,2021-04-26,Q109772066-E9BE6E5A-5048-41CE-A229-D8B63A2F7152
Q109772068,Kenneth Bryan,Q109772069,Minister for Tourism and Transport,2021-04-26,Q109772068-78F7A138-F7E6-4720-BEB3-40FAD687D949
Q109772089,"Johany S. ""Jay"" Ebanks",Q109772090,"Minister for Planning, Agriculture, Housing, and Infrastructure",2021-04-26,Q109772089-E91B0DB1-64DF-4E5E-A0A9-70AAA462B156
Q109772096,Franz I. Manderson,Q109772097,Deputy Governor of the Cayman Islands,2012-01-01,Q109772096-70D4C1F9-E7FE-4BCD-95A4-2E895EC6B7C7
Q109772110,Christopher Saunders,Q109772111,Deputy Premier of the Cayman Islands,2021-04-26,Q109772110-E12A1EF0-4A68-4CA3-A79F-4959F87F43B9
Q109772110,Christopher Saunders,Q109772114,Minister for Border Control and Labour,2021-04-26,Q109772110-0D61F7F8-D3A0-4910-9718-679E8A724DAF
Q109772110,Christopher Saunders,Q109772116,Minister for Finance and Economic Development,2021-04-26,Q109772110-4D100306-51D9-4844-BF97-4B5F1EBADBC4
Q109772121,Bernie Bush,Q109772123,"Minister for Youth, Sports, Culture and Heritage",2021-04-26,Q109772121-28700789-1FAD-48CA-8745-8882009E9827
Q109772121,Bernie Bush,Q109772126,Minister for Home Affairs,2021-04-26,Q109772121-A781688D-1EE3-44BA-A02D-A789FEB1D43B
Q109772130,Andre M. Ebanks,Q109772131,"Minister for Investment, Innovation and Social Development",2021-04-26,Q109772130-9A01302D-B9C4-44BB-AB33-423CE747D8B0
Q109772130,Andre M. Ebanks,Q109772133,Minister for Financial Services and Commerce,2021-04-26,Q109772130-93C070C1-2FAC-4E66-8ADF-BA9C467F6012
Q6307840,Julianna O'Connor-Connolly,Q109772071,Minister for Education,2021-04-26,Q6307840-D9B58139-E867-44F5-A109-11D875BE49FC
Q6307840,Julianna O'Connor-Connolly,Q109772072,Minister for District Administration and Lands,2021-04-26,Q6307840-2421109E-1D5E-45CB-AD44-4F70D7AF13C0
